ts_event,price
2024-10-21 11:54:29.221064336+00:00,233.62
2024-10-21 11:54:29.223769812+00:00,233.67
2024-10-21 11:54:29.225030400+00:00,233.67
2024-10-21 11:54:29.712434212+00:00,233.52
2024-10-21 11:54:29.764673165+00:00,233.52
2024-10-21 11:54:29.764685027+00:00,233.54
2024-10-21 11:54:36.289427977+00:00,233.9
2024-10-21 11:54:37.990793976+00:00,233.73
2024-10-21 11:54:39.124291588+00:00,233.73
2024-10-21 11:54:39.134140341+00:00,233.74
2024-10-21 11:54:41.233181043+00:00,233.67
2024-10-21 11:54:41.234620509+00:00,233.67
2024-10-21 11:54:41.235907431+00:00,233.67
2024-10-21 11:54:41.235977207+00:00,233.67
2024-10-21 11:54:41.238618235+00:00,233.7
2024-10-21 11:54:41.239827037+00:00,233.7
2024-10-21 11:54:50.970297264+00:00,233.79
2024-10-21 11:54:50.970336474+00:00,233.78
2024-10-21 11:54:53.247532557+00:00,233.7
2024-10-21 11:54:53.248893986+00:00,233.7
2024-10-21 11:54:53.251320969+00:00,233.67
2024-10-21 11:54:53.252546517+00:00,233.67
2024-10-21 11:54:55.503497741+00:00,233.48
2024-10-21 11:54:55.503541005+00:00,233.51
2024-10-21 11:54:55.551806996+00:00,233.59
2024-10-21 11:54:58.132928650+00:00,233.9
2024-10-21 11:54:58.133944065+00:00,233.75
2024-10-21 11:55:09.125042325+00:00,233.59
2024-10-21 11:55:09.125055670+00:00,233.57
2024-10-21 11:55:09.160009889+00:00,233.78
2024-10-21 11:55:09.160051447+00:00,233.77
2024-10-21 11:55:13.899151539+00:00,233.59
2024-10-21 11:55:22.016715475+00:00,233.51
2024-10-21 11:55:22.060173668+00:00,233.52
2024-10-21 11:55:22.132778490+00:00,233.6
2024-10-21 11:55:26.447978801+00:00,233.73
2024-10-21 11:55:30.365285173+00:00,233.6
2024-10-21 11:55:30.365297270+00:00,233.54
2024-10-21 11:55:30.377046532+00:00,233.52
2024-10-21 11:55:30.377110788+00:00,233.53
2024-10-21 11:55:30.509413271+00:00,233.77
2024-10-21 11:55:30.509458075+00:00,233.79
2024-10-21 11:55:30.559949308+00:00,233.55
2024-10-21 11:55:31.194923125+00:00,233.54
2024-10-21 11:55:31.195023714+00:00,233.53
2024-10-21 11:55:34.079261198+00:00,233.67
2024-10-21 11:55:35.302921978+00:00,233.67
2024-10-21 11:55:35.303067914+00:00,233.67
2024-10-21 11:55:35.304531207+00:00,233.67
