ts_event,ofi_AAPL_target,ofi_MSFT
2024-10-21 11:54:00,0.17878593319103853,0.17878593319103853
2024-10-21 11:54:30,41.51858120833878,41.51858120833878
2024-10-21 11:55:00,171.48680824860196,171.48680824860196
2024-10-21 11:55:30,1701.0656125752278,1701.0656125752278
2024-10-21 11:56:00,-3114.8118213599546,-3114.8118213599546
2024-10-21 11:56:30,-229.24422158174022,-229.24422158174022
2024-10-21 11:57:00,-1315.973768604551,-1315.973768604551
2024-10-21 11:57:30,2244.3462360391454,2244.3462360391454
2024-10-21 11:58:00,-542.2334731181659,-542.2334731181659
2024-10-21 11:58:30,-1641.9099429103476,-1641.9099429103476
2024-10-21 11:59:00,872570.8904014567,872570.8904014567
2024-10-21 11:59:30,-10601.422149052534,-10601.422149052534
2024-10-21 12:00:00,-10498.073148779506,-10498.073148779506
2024-10-21 12:00:30,-5988.834681565528,-5988.834681565528
2024-10-21 12:01:00,3276.7390118784497,3276.7390118784497
2024-10-21 12:01:30,2470.6434641908286,2470.6434641908286
2024-10-21 12:02:00,-321.96545134273987,-321.96545134273987
2024-10-21 12:02:30,251.08773088399042,251.08773088399042
2024-10-21 12:03:00,57.10794251827824,57.10794251827824
2024-10-21 12:03:30,-2179.4112989347354,-2179.4112989347354
2024-10-21 12:04:00,-43.923757168997916,-43.923757168997916
2024-10-21 12:04:30,-226.47210194035645,-226.47210194035645
2024-10-21 12:05:00,-183.57437079905185,-183.57437079905185
2024-10-21 12:05:30,6115.667280956132,6115.667280956132
2024-10-21 12:06:00,-1027.4464922259413,-1027.4464922259413
2024-10-21 12:06:30,392.1177863911461,392.1177863911461
2024-10-21 12:07:00,-284.7960104767275,-284.7960104767275
2024-10-21 12:07:30,-6096.16311178997,-6096.16311178997
2024-10-21 12:08:00,190.85592249295578,190.85592249295578
2024-10-21 12:08:30,3057.641283905773,3057.641283905773
2024-10-21 12:09:00,2122.4053509207397,2122.4053509207397
2024-10-21 12:09:30,-3246.829789543228,-3246.829789543228
2024-10-21 12:10:00,3699.200422055128,3699.200422055128
2024-10-21 12:10:30,876.1800469878111,876.1800469878111
2024-10-21 12:11:00,901.1514296743842,901.1514296743842
2024-10-21 12:11:30,362.6081724914858,362.6081724914858
2024-10-21 12:12:00,701.0224483637575,701.0224483637575
2024-10-21 12:12:30,57721.41185502394,57721.41185502394
2024-10-21 12:13:00,-318.994814603807,-318.994814603807
2024-10-21 12:13:30,9043.139678156496,9043.139678156496
2024-10-21 12:14:00,3208.1710070498707,3208.1710070498707
2024-10-21 12:14:30,334.2823522341099,334.2823522341099
2024-10-21 12:15:00,-30050.905952695906,-30050.905952695906
2024-10-21 12:15:30,-1019.5153759230188,-1019.5153759230188
2024-10-21 12:16:00,13399.92856466364,13399.92856466364
2024-10-21 12:16:30,-1091.5790558602266,-1091.5790558602266
2024-10-21 12:17:00,5359.618156696828,5359.618156696828
2024-10-21 12:17:30,-5686.470902615931,-5686.470902615931
2024-10-21 12:18:00,-529.6924153081945,-529.6924153081945
2024-10-21 12:18:30,1569.6194105032857,1569.6194105032857
2024-10-21 12:19:00,9251.25816857644,9251.25816857644
2024-10-21 12:19:30,-1824.0128904888063,-1824.0128904888063
2024-10-21 12:20:00,1610.5128760212951,1610.5128760212951
2024-10-21 12:20:30,-4226.450135526187,-4226.450135526187
2024-10-21 12:21:00,1299.8229303768524,1299.8229303768524
2024-10-21 12:21:30,324.6796798626428,324.6796798626428
2024-10-21 12:22:00,878.360411871674,878.360411871674
2024-10-21 12:22:30,-38.07196167885217,-38.07196167885217
2024-10-21 12:23:00,678.3553403602034,678.3553403602034
2024-10-21 12:23:30,21618.121266059436,21618.121266059436
2024-10-21 12:24:00,-990.6953172028915,-990.6953172028915
2024-10-21 12:24:30,-992.7579483076391,-992.7579483076391
2024-10-21 12:25:00,-5054.19509571311,-5054.19509571311
2024-10-21 12:25:30,597.8177520331129,597.8177520331129
2024-10-21 12:26:00,4620.83781688528,4620.83781688528
2024-10-21 12:26:30,3734.4810276195903,3734.4810276195903
2024-10-21 12:27:00,48.77783003836081,48.77783003836081
2024-10-21 12:27:30,-2070.013372953314,-2070.013372953314
2024-10-21 12:28:00,642.8751404813954,642.8751404813954
2024-10-21 12:28:30,48.576329147786765,48.576329147786765
2024-10-21 12:29:00,10491.648758803092,10491.648758803092
2024-10-21 12:29:30,494.90154798366217,494.90154798366217
2024-10-21 12:30:00,-1710.530755709037,-1710.530755709037
2024-10-21 12:30:30,-1177.4839369266895,-1177.4839369266895
2024-10-21 12:31:00,-1422.6596510585443,-1422.6596510585443
2024-10-21 12:31:30,-671.6568062468873,-671.6568062468873
2024-10-21 12:32:00,-825.8548459041901,-825.8548459041901
2024-10-21 12:32:30,366.03779096308733,366.03779096308733
2024-10-21 12:33:00,-1345.5318971220413,-1345.5318971220413
2024-10-21 12:33:30,-66.44777435454534,-66.44777435454534
2024-10-21 12:34:00,6462.0303552913065,6462.0303552913065
2024-10-21 12:34:30,-2736.6017032868012,-2736.6017032868012
2024-10-21 12:35:00,2358.0120399766092,2358.0120399766092
2024-10-21 12:35:30,-2013.8652034555705,-2013.8652034555705
2024-10-21 12:36:00,-625.3487474477207,-625.3487474477207
2024-10-21 12:36:30,357.04357546995885,357.04357546995885
2024-10-21 12:37:00,-506.86002964653164,-506.86002964653164
2024-10-21 12:37:30,-2285.826657773757,-2285.826657773757
2024-10-21 12:38:00,-2494.6167158912244,-2494.6167158912244
2024-10-21 12:38:30,1195.245468102184,1195.245468102184
2024-10-21 12:39:00,1025.821772327481,1025.821772327481
