ts_event,best_level_ofi
2024-10-21 11:54:29.223769812,
2024-10-21 11:54:29.225030400,3.0
2024-10-21 11:54:29.712434212,0.0
2024-10-21 11:54:29.764673165,112.0
2024-10-21 11:54:29.764685027,-112.0
2024-10-21 11:54:36.289427977,0.0
2024-10-21 11:54:37.990793976,200.0
2024-10-21 11:54:39.124291588,-287.0
2024-10-21 11:54:39.134140341,488.0
2024-10-21 11:54:41.233181043,115.0
2024-10-21 11:54:41.234620509,-117.0
2024-10-21 11:54:41.235907431,117.0
2024-10-21 11:54:41.235977207,2.0
2024-10-21 11:54:41.238618235,-398.0
2024-10-21 11:54:41.239827037,3.0
2024-10-21 11:54:50.970297264,390.0
2024-10-21 11:54:50.970336474,-390.0
2024-10-21 11:54:53.247532557,393.0
2024-10-21 11:54:53.248893986,139.0
2024-10-21 11:54:53.251320969,-119.0
2024-10-21 11:54:53.252546517,2.0
2024-10-21 11:54:55.503497741,112.0
2024-10-21 11:54:55.503541005,-112.0
2024-10-21 11:54:55.551806996,0.0
2024-10-21 11:54:58.132928650,112.0
2024-10-21 11:54:58.133944065,-112.0
2024-10-21 11:55:09.125042325,112.0
2024-10-21 11:55:09.125055670,-112.0
2024-10-21 11:55:09.160009889,112.0
2024-10-21 11:55:09.160051447,-112.0
2024-10-21 11:55:13.899151539,0.0
2024-10-21 11:55:22.016715475,112.0
2024-10-21 11:55:22.060173668,-112.0
2024-10-21 11:55:22.132778490,0.0
2024-10-21 11:55:26.447978801,200.0
2024-10-21 11:55:30.365285173,112.0
2024-10-21 11:55:30.365297270,-112.0
2024-10-21 11:55:30.377046532,112.0
2024-10-21 11:55:30.377110788,-112.0
2024-10-21 11:55:30.509413271,112.0
2024-10-21 11:55:30.509458075,-112.0
2024-10-21 11:55:30.559949308,0.0
2024-10-21 11:55:31.194923125,0.0
2024-10-21 11:55:31.195023714,112.0
2024-10-21 11:55:34.079261198,139.0
2024-10-21 11:55:35.302921978,2.0
2024-10-21 11:55:35.303067914,400.0
2024-10-21 11:55:35.304531207,-398.0
2024-10-21 11:55:35.305736838,800.0
2024-10-21 11:55:35.374212373,27.0
2024-10-21 11:55:35.374226300,-346.0
2024-10-21 11:55:38.243671650,147.0
2024-10-21 11:55:38.243683612,-548.0
2024-10-21 11:55:38.298336797,0.0
2024-10-21 11:55:38.572413983,200.0
2024-10-21 11:55:44.733510979,29.0
2024-10-21 11:55:44.791957886,342.0
2024-10-21 11:55:51.293948230,158.0
2024-10-21 11:55:51.294217665,142.0
2024-10-21 11:55:51.365188500,0.0
2024-10-21 11:55:51.401597368,-342.0
2024-10-21 11:55:53.213328704,0.0
2024-10-21 11:55:53.213365167,342.0
2024-10-21 11:55:54.691386316,-342.0
2024-10-21 11:55:54.691398035,143.0
2024-10-21 11:55:54.691407713,-344.0
2024-10-21 11:55:54.745856609,344.0
2024-10-21 11:55:54.745868744,-344.0
2024-10-21 11:55:54.762492206,412.0
2024-10-21 11:55:54.762530320,-374.0
2024-10-21 11:55:55.306692496,346.0
2024-10-21 11:55:55.306705027,-346.0
2024-10-21 11:55:55.361082355,-200.0
2024-10-21 11:55:55.706105479,0.0
2024-10-21 11:55:58.151580102,0.0
2024-10-21 11:56:07.493655598,746.0
2024-10-21 11:56:10.953492365,-200.0
2024-10-21 11:56:10.953504236,-346.0
2024-10-21 11:56:11.008155483,346.0
2024-10-21 11:56:11.008167451,-346.0
2024-10-21 11:56:11.038752302,412.0
2024-10-21 11:56:11.038803026,-376.0
2024-10-21 11:56:14.982879375,350.0
2024-10-21 11:56:14.982891924,-350.0
2024-10-21 11:56:15.036962807,0.0
2024-10-21 11:56:15.039085832,350.0
2024-10-21 11:56:15.039203352,-350.0
2024-10-21 11:56:17.922879284,350.0
2024-10-21 11:56:17.922956219,-350.0
2024-10-21 11:56:23.203362495,350.0
2024-10-21 11:56:23.203374367,-350.0
2024-10-21 11:56:23.230980890,0.0
2024-10-21 11:56:23.259005865,0.0
2024-10-21 11:56:23.260424017,412.0
2024-10-21 11:56:23.260520532,-375.0
2024-10-21 11:56:24.985297090,348.0
2024-10-21 11:56:24.985309618,-348.0
2024-10-21 11:56:25.053201827,0.0
2024-10-21 11:56:29.970611371,0.0
2024-10-21 11:56:34.567796323,348.0
2024-10-21 11:56:34.567809267,-348.0
2024-10-21 11:56:34.623413180,0.0
2024-10-21 11:56:42.272625996,0.0
2024-10-21 11:56:43.878708550,100.0
2024-10-21 11:56:43.878991240,147.0
2024-10-21 11:56:47.448697059,0.0
2024-10-21 11:56:47.557683879,-348.0
2024-10-21 11:56:51.014654312,0.0
2024-10-21 11:56:51.014666179,348.0
2024-10-21 11:56:51.014676787,-348.0
2024-10-21 11:56:55.866035650,0.0
2024-10-21 11:57:04.890399029,100.0
2024-10-21 11:57:04.890725062,147.0
2024-10-21 11:57:06.458943234,-401.0
2024-10-21 11:57:14.837669309,400.0
2024-10-21 11:57:14.894521785,-400.0
2024-10-21 11:57:15.098765695,400.0
2024-10-21 11:57:15.098777532,-400.0
2024-10-21 11:57:15.158138746,400.0
2024-10-21 11:57:15.158151037,-400.0
2024-10-21 11:57:15.238560230,0.0
2024-10-21 11:57:15.426680348,0.0
2024-10-21 11:57:17.249143876,400.0
2024-10-21 11:57:17.249155657,-400.0
2024-10-21 11:57:17.304858834,0.0
2024-10-21 11:57:20.112111433,20.0
2024-10-21 11:57:23.522180556,38.0
2024-10-21 11:57:23.522320812,-38.0
2024-10-21 11:57:23.575986228,0.0
2024-10-21 11:57:23.893151634,50.0
2024-10-21 11:57:23.893200066,43.0
2024-10-21 11:57:23.964289822,26.0
2024-10-21 11:57:23.964302478,-26.0
2024-10-21 11:57:23.993763323,0.0
2024-10-21 11:57:25.745564633,0.0
2024-10-21 11:57:25.813792371,0.0
2024-10-21 11:57:25.852973172,-20.0
2024-10-21 11:57:25.862973670,0.0
2024-10-21 11:57:25.868673528,200.0
2024-10-21 11:57:26.000349886,200.0
2024-10-21 11:57:28.039292565,-560.0
2024-10-21 11:57:28.039302990,10.0
2024-10-21 11:57:28.153707091,-20.0
2024-10-21 11:57:28.163711748,200.0
2024-10-21 11:57:28.163725884,0.0
2024-10-21 11:57:29.331953680,-360.0
2024-10-21 11:57:29.331966683,360.0
2024-10-21 11:57:30.995192991,200.0
2024-10-21 11:57:31.496234971,0.0
2024-10-21 11:57:36.264542456,-300.0
2024-10-21 11:57:36.267934826,200.0
2024-10-21 11:57:37.887981490,-999.0
2024-10-21 11:57:38.016963535,0.0
2024-10-21 11:57:40.885440558,998.0
2024-10-21 11:57:40.885481569,-998.0
2024-10-21 11:57:41.319151873,998.0
2024-10-21 11:57:41.319163898,-998.0
2024-10-21 11:57:41.375697228,998.0
2024-10-21 11:57:41.375709324,-998.0
2024-10-21 11:57:41.965660865,998.0
2024-10-21 11:57:42.074173420,-998.0
2024-10-21 11:57:42.169221771,0.0
2024-10-21 11:57:42.207878969,998.0
2024-10-21 11:57:42.313260974,-998.0
2024-10-21 11:57:42.380159117,0.0
2024-10-21 11:57:42.412324426,998.0
2024-10-21 11:57:42.412336614,-998.0
2024-10-21 11:57:48.072962640,0.0
2024-10-21 11:57:48.072974095,998.0
2024-10-21 11:57:48.072984615,-998.0
2024-10-21 11:57:48.076659157,998.0
2024-10-21 11:57:48.076742621,-998.0
2024-10-21 11:57:48.136477014,998.0
2024-10-21 11:57:48.136488492,-998.0
2024-10-21 11:57:48.194611663,998.0
2024-10-21 11:57:48.194659897,-998.0
2024-10-21 11:57:51.271195500,0.0
2024-10-21 11:57:51.287108312,998.0
2024-10-21 11:57:51.287157718,-998.0
2024-10-21 11:57:52.317929239,998.0
2024-10-21 11:57:52.317942384,-998.0
2024-10-21 11:57:58.266584280,0.0
2024-10-21 11:58:06.284720780,998.0
2024-10-21 11:58:06.284733562,-998.0
2024-10-21 11:58:06.339571308,0.0
2024-10-21 11:58:06.359829740,0.0
2024-10-21 11:58:06.360206541,0.0
2024-10-21 11:58:06.360243785,998.0
2024-10-21 11:58:06.414660818,0.0
2024-10-21 11:58:06.414672832,-998.0
2024-10-21 11:58:14.036377136,998.0
2024-10-21 11:58:14.144708873,-998.0
