ts_event,integrated_ofi
2024-10-21 11:54:25,99.99999999999996
2024-10-21 11:54:30,0.0
2024-10-21 11:54:35,-79.99999999999996
2024-10-21 11:54:40,119.99999999999991
2024-10-21 11:54:45,0.0
2024-10-21 11:54:50,120.00000000000007
2024-10-21 11:54:55,1.4140551013284155e-14
2024-10-21 11:55:00,0.0
2024-10-21 11:55:05,12.499999999999996
2024-10-21 11:55:10,0.0
2024-10-21 11:55:15,0.0
2024-10-21 11:55:20,-9.176835305591377e-15
2024-10-21 11:55:25,-4.819177470142999e-16
2024-10-21 11:55:30,-5533.333333333318
2024-10-21 11:55:35,98.06451612903224
2024-10-21 11:55:40,46.5979381443299
2024-10-21 11:55:45,0.0
2024-10-21 11:55:50,-1248.4297520661157
2024-10-21 11:55:55,68.91191709844558
2024-10-21 11:56:00,0.0
2024-10-21 11:56:05,9.09090909090909
2024-10-21 11:56:10,54.38943894389438
2024-10-21 11:56:15,-99.99999999999994
2024-10-21 11:56:20,115.24475524475517
2024-10-21 11:56:25,-39.999999999999986
2024-10-21 11:56:30,0.0
2024-10-21 11:56:35,0.0
2024-10-21 11:56:40,-16.989247311827942
2024-10-21 11:56:45,5.714285714285718
2024-10-21 11:56:50,59.999999999999986
2024-10-21 11:56:55,-19.99999999999999
2024-10-21 11:57:00,15.267702936096718
2024-10-21 11:57:05,-19.43661971830985
2024-10-21 11:57:10,39.99999999999998
2024-10-21 11:57:15,4.287473840849837e-14
2024-10-21 11:57:20,538.3018867924528
2024-10-21 11:57:25,-146.95652173913032
2024-10-21 11:57:30,-39.99999999999997
2024-10-21 11:57:35,115.55555555555547
2024-10-21 11:57:40,279.99999999999966
2024-10-21 11:57:45,180.00000000000003
2024-10-21 11:57:50,1.9024226462168582e-14
2024-10-21 11:57:55,3.80484529243372e-15
2024-10-21 11:58:00,0.0
2024-10-21 11:58:05,160.00000000000003
2024-10-21 11:58:10,0.0
2024-10-21 11:58:15,259.99999999999994
2024-10-21 11:58:20,39.999999999999986
2024-10-21 11:58:25,0.0
2024-10-21 11:58:30,0.0
2024-10-21 11:58:35,1.4631493592766694e-14
2024-10-21 11:58:40,-6.117890203727585e-15
2024-10-21 11:58:45,0.0
2024-10-21 11:58:50,765.7142857142853
