ts_event,ofi_00,ofi_01,ofi_02,ofi_03,ofi_04,ofi_05,ofi_06,ofi_07,ofi_08,ofi_09
2024-10-21 11:54:00,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21 11:54:30,-205.29850746268656,-82.54335260115606,195.7894736842105,-368.5714285714286,709.1803278688525,-412.7586206896552,-420.0,-113.92712550607287,-351.7577548005908,-279.0508474576271
2024-10-21 11:55:00,-180.0,180.0,-792.0,-1908.0000000000018,180.0,180.0,180.0,180.0,180.0,179.99999999999997
2024-10-21 11:55:30,5976.03686635945,1842.6343154246101,610.9331860850359,351.5570934256055,-42.10526315789474,-829.7397769516728,476.74023769100165,561.7021276595744,-379.66101694915255,-844.1860465116279
2024-10-21 11:56:00,-669.7005988023952,985.2631578947369,480.0,480.0,-31.4018691588785,-9.411764705882351,-363.87096774193543,-273.63057324840764,-724.5283018867925,-614.2721217887727
2024-10-21 11:56:30,-239.99999999999997,-240.0,114.24354243542436,-240.0,-240.0,-240.0,-240.0,-240.0,-239.99999999999997,-240.00000000000003
2024-10-21 11:57:00,620.5228758169934,2046.1878453038678,2430.883720930233,-120063.63636363621,-1165.6,-940.0,-110.58823529411764,736.7567567567568,-190.52348993288592,-970.0960512273213
2024-10-21 11:57:30,-737.0459081836327,2260.6872852233673,1113.3856209150326,-232.9629629629629,-96.90476190476191,384.8882265275708,-6084.444444444444,-1133.6170212765956,-290.5422993492408,-168.66096866096865
2024-10-21 11:58:00,-540.0,540.0,540.0,540.0000000000006,-121.22448979591836,-708.2242990654206,-677.4045801526717,-558.0904522613065,-429.2938496583144,-498.1635581061693
2024-10-21 11:58:30,1489.090909090909,20159.999999999967,890.4985337243401,98.33030852994555,-1510.9090909090912,-2430.9782608695655,-450.3614457831325,-2393.1543624161072,-2809.732620320855,-1206.7069486404832
2024-10-21 11:59:00,0.0,800.0,800.0,-785.4227405247814,-48299.999999999956,3102.439024390244,1653.9877300613496,-710.913140311804,-1295.8677685950413,-541.0071942446043
2024-10-21 11:59:30,112.25806451612902,0.0,1558.0392156862742,-549.0391459074733,-518.5159010600706,-861.3289036544851,-580.0,-282.4253731343284,-507.42440041710114,-751.9767441860465
2024-10-21 12:00:00,-1444.9586776859505,1229.8981670061098,3761.2569316081326,-757.0324574961359,-507.5105485232067,-686.4285714285714,-21047.792207792205,-2224.5847176079733,-720.1538461538461,-1368.3609820836098
2024-10-21 12:00:30,642.5651302605211,-590.7692307692307,2509.2063492063494,784.516129032258,857.2693726937268,3804.444444444444,-525.7142857142858,-35.46174142480211,609.8823529411766,-237.85440613026822
2024-10-21 12:01:00,700.0,300.0,921.0526315789474,1840.3636363636365,-368.87966804979254,5050.7692307692305,-2212.5,320.4081632653061,1631.7725752508363,-263.6986301369863
2024-10-21 12:01:30,663.3082706766918,-608.7931034482758,-1310.246305418719,410.54502369668245,-25860.00000000007,406.0820367751061,81.39827179890024,-59.074074074074076,-439.54070981210856,-4019.281437125748
2024-10-21 12:02:00,-239.99999999999997,-239.99999999999997,-240.00000000000006,-42.672147995889006,-240.00000000000003,-728.8888888888889,-244.83870967741933,-160.1210287443268,-276.9515011547344,-198.814352574103
2024-10-21 12:02:30,980.0,-394.9253731343283,439.8070739549839,-604.8648648648648,137.26829268292684,230.03533568904595,-837.910447761194,-325.46623794212223,-290.97457627118644,-872.8124999999999
2024-10-21 12:03:00,0.0,0.0,60.0,60.00000000000001,60.00000000000001,60.0,60.0,60.0,60.0,60.0
2024-10-21 12:03:30,-520.4081632653061,833.3333333333334,45.45454545454545,101.78306092124815,-365.31986531986524,-645.2420701168613,-153.6312849162011,-280.73610023492563,-406.8479355488419,-642.1544515494344
2024-10-21 12:04:00,-680.0,540.082304526749,3873.770491803278,484.574780058651,-256.68874172185434,-1834.2857142857144,-1366.2385321100915,-1197.6470588235295,-1165.1642129105323,-1221.7626321974149
2024-10-21 12:04:30,-180.0,-180.0,-270.0,-180.0,-121.79640718562875,-165.44474393530996,719.9999999999999,-223.90243902439022,-136.4835164835165,-0.0
2024-10-21 12:05:00,-75.9322033898305,-186.66666666666669,952.4890829694324,13.71757925072046,32.74463007159905,1139.1780821917807,-494.0314136125654,-275.69892473118284,-280.00000000000006,-5320.0
2024-10-21 12:05:30,-1426.8571428571427,2941.714285714286,149242.49999999814,1195.5179529508873,-3363.4794908062227,-36014.594594594615,831.9907138711549,-2674.6408839779006,-2415.7487922705313,-1269.7601668404589
2024-10-21 12:06:00,663.6174636174636,2691.173794358508,2184.795321637427,420.2764976958525,420.35842293906813,-983.3097595473832,-437.30569948186536,137.32970027247956,-987.8669275929549,-880.0470865214832
2024-10-21 12:06:30,1674.9700598802392,1336.2874251497005,1759.8847262247837,-230.15893197711378,2270.7264296754247,-7593.6,-1050.8108108108108,-826.875,-37.98994974874372,-373.33333333333337
2024-10-21 12:07:00,0.0,465.58139534883725,-257.3333333333333,116740.00000000146,10573.333333333323,-268.7542087542087,-300.8243375858685,-366.0194174757281,-178.46689895470382,-7193.33333333333
2024-10-21 12:07:30,1146.0759493670887,1194.1345955958016,1173.5022026431716,1403.1237322515206,210.7473309608541,-3011.6184971098264,-560.6369426751593,-936.5217391304348,-951.8392812577989,-4782.580645161288
2024-10-21 12:08:00,145.68421052631578,240.0,239.99999999999997,239.99999999999997,240.0,239.99999999999997,240.0,240.0,240.0,240.0
